Word,Length,Consonants,Vowels,Syllables,Origin,Favourite
Coast,5,3,2,1,Middle English,
Bugle,5,3,2,2,Anglo Norman,
Chara,5,3,2,2,,
Homer,5,3,2,2,Hebrew,
Karma,5,3,2,2,Sanskrit,
Loser,5,3,2,2,English,
Token,5,3,2,2,Middle English,
Milan,5,3,2,2,Italian,
Ashes,5,3,2,2,,
Notch,5,4,1,1,Middle French,
Fairy,5,3,2,2,Middle English,
Chief,5,3,2,1,Middle English,
Novel,5,3,2,2,Old French,
Idiom,5,2,3,3,Middle French,
Algae,5,2,3,2,,
Shawn,5,4,1,1,Irish,
Forte,5,3,2,2,French,
Spell,5,4,1,1,Old English,
Labor,5,3,2,2,Proto Indo European,
Skunk,5,4,1,1,Abenaki,
Piggy,5,4,1,2,,
Texan,5,3,2,2,,
Abbey,5,3,2,2,Middle English,
Pants,5,4,1,1,Middle English,
Slave,5,3,2,1,Middle English,
Chevy,5,4,1,2,,
Fuzzy,5,4,1,2,,
Malik,5,3,2,2,Ottoman Turkish,
Blank,5,4,1,1,Middle English,
Elvis,5,3,2,2,English,
Trail,5,3,2,1,Latin,
Pause,5,2,3,1,Middle French,
Hound,5,3,2,1,Middle English,
Spark,5,4,1,1,Proto Germanic,
Libya,5,3,2,2,Latin,
Fault,5,3,2,1,Middle English,
Joker,5,3,2,2,English,
Might,5,4,1,1,Middle English,
Since,5,3,2,1,Middle English,
Trash,5,4,1,1,Old Norse,
Adman,5,3,2,2,,
Urine,5,2,3,2,Middle English,
Broad,5,3,2,1,Middle English,
Feast,5,3,2,1,Middle English,
Jello,5,3,2,2,,
Guide,5,2,3,1,Middle English,
Cello,5,3,2,2,,
Aware,5,2,3,2,Old English,
Wally,5,4,1,2,,
Ariel,5,2,3,2,,
Coins,5,3,2,1,,
Verse,5,3,2,1,Old English,
Baron,5,3,2,2,Old French,
Slide,5,3,2,1,Middle English,
Alamo,5,2,3,3,Spanish,
Legal,5,3,2,2,,
Where,5,3,2,1,Middle English,
Orbit,5,3,2,2,Latin,
Angus,5,3,2,2,Scottish Gaelic,
Adder,5,3,2,2,Middle English,
Taste,5,3,2,1,Middle English,
Elder,5,3,2,2,Old English,
Sonic,5,3,2,2,Latin,
Large,5,3,2,2,Middle English,
Snore,5,3,2,1,Middle English,
Fries,5,3,2,1,,
Misty,5,4,1,2,Middle English,
Aspen,5,3,2,2,Middle English,
Polar,5,3,2,2,Late Latin,
Pound,5,3,2,1,Middle English,
Score,5,3,2,1,Old English,
Amour,5,2,3,2,French,
Games,5,3,2,1,,
Paige,5,2,3,2,,
Yeast,5,3,2,1,Middle English,
Aping,5,3,2,2,,
Hedge,5,3,2,1,Middle English,
Usher,5,3,2,2,Old French,
Abaya,5,2,3,2,Arabic,
Inger,5,3,2,2,,
Aside,5,2,3,2,,
Staff,5,4,1,1,Old English,
Twine,5,3,2,1,Middle English,
Third,5,4,1,1,Old English,
Playa,5,3,2,1,Spanish,
Amigo,5,2,3,3,Spanish,
Taiga,5,2,3,2,Russian,
Crisp,5,4,1,1,Middle English,
Italy,5,3,2,3,Middle English,
Agate,5,2,3,2,Middle French,
Aioli,5,1,4,4,French,
Sully,5,4,1,2,,
Denim,5,3,2,2,French,
Tammy,5,4,1,2,French,
Canoe,5,2,3,2,Spanish,
Crete,5,3,2,2,Ancient Greek,
Fluid,5,3,2,1,Latin,
Batch,5,4,1,1,Middle English,
Motor,5,3,2,2,Latin,
Pulse,5,3,2,2,Latin,
Aline,5,2,3,2,Middle English,
Enter,5,3,2,2,Middle English,
Solar,5,3,2,2,Middle English,
Boney,5,3,2,2,,
Motto,5,3,2,2,Italian,
Fuego,5,2,3,2,,
Grief,5,3,2,1,Middle English,
Suave,5,2,3,2,Latin,
Bison,5,3,2,2,Middle English,
Owner,5,3,2,2,,
Cheek,5,3,2,1,Old English,
Gypsy,5,5,0,2,Middle English,
Rocky,5,4,1,2,,
Knock,5,4,1,1,,
Moses,5,3,2,2,Ancient Greek,
Cheat,5,3,2,1,Middle English,
Diane,5,2,3,2,Italian,
Ouija,5,1,4,3,French,
Scone,5,3,2,1,Middle Low German,
Bound,5,3,2,1,Middle English,
Eaten,5,2,3,2,,
Colon,5,3,2,2,Latin,
Haiti,5,2,3,2,Taino,
Anise,5,2,3,2,Old French,
Rissa,5,3,2,2,,
Zaire,5,2,3,1,,
Cyrus,5,4,1,2,Latin,
Ideal,5,2,3,2,French,
Fiend,5,3,2,2,Middle English,
Notes,5,3,2,1,,
Study,5,4,1,2,Middle English,
Spare,5,3,2,1,Middle English,
Prank,5,4,1,1,Middle English,
Pepsi,5,3,2,2,,
Climb,5,4,1,1,Middle English,
Eject,5,3,2,2,Latin,
Spork,5,4,1,1,,
Beany,5,3,2,2,,
Abyss,5,4,1,2,Middle English,
Smack,5,4,1,1,Middle English,
Evans,5,3,2,2,Welsh,
Minge,5,3,2,2,Romani,
Tense,5,3,2,2,Old French,
Brief,5,3,2,1,Old French,
Poker,5,3,2,2,German,
Petty,5,4,1,2,Middle French,
Coven,5,3,2,2,Middle English,
Basic,5,3,2,2,English,
Trine,5,3,2,1,Middle French,
Sober,5,3,2,2,Old French,
Crone,5,3,2,1,Old French,
Berth,5,4,1,1,Middle English,
Grown,5,4,1,1,,
Aback,5,3,2,2,Middle English,
Buddy,5,4,1,2,,
Altar,5,3,2,2,Latin,
Villa,5,3,2,2,Italian,
Triad,5,3,2,2,Latin,
Upset,5,3,2,2,Middle English,
Bubba,5,3,2,2,,
Grave,5,3,2,1,Middle English,
Tears,5,3,2,1,,
Shaft,5,4,1,1,Old English,
Byron,5,4,1,2,Old English,
Cress,5,4,1,1,Old English,
Limit,5,3,2,2,Middle English,
Lipid,5,3,2,2,,
Indra,5,3,2,2,Sanskrit,
Polio,5,2,3,3,Proto Indo European,
Delve,5,3,2,2,Middle English,
Phony,5,4,1,2,Irish,
Avion,5,2,3,2,Latin,
Quake,5,2,3,1,Middle English,
Baked,5,3,2,1,,
Fangs,5,4,1,1,,
Prove,5,3,2,1,Middle English,
Rails,5,3,2,1,,
Agave,5,2,3,2,Ancient Greek,
Arise,5,2,3,2,Middle English,
Shack,5,4,1,1,Nahuatl,
Fifth,5,4,1,1,Middle English,
Spill,5,4,1,1,Old English,
Loner,5,3,2,2,,
Ozone,5,2,3,2,German,
Rifle,5,3,2,2,Middle English,
Audit,5,2,3,2,Latin,
Squad,5,3,2,1,French,
Spine,5,3,2,1,Old French,
Allay,5,3,2,2,Middle English,
Comma,5,3,2,2,Latin,
Spray,5,4,1,1,Middle Dutch,
Phase,5,3,2,1,New Latin,
Hades,5,3,2,1,Ancient Greek,
Wound,5,3,2,1,Old English,
Exist,5,3,2,2,French,
Brent,5,4,1,1,,
Banjo,5,3,2,2,,
Fungi,5,3,2,2,,
Wreck,5,4,1,1,Middle English,
Fiber,5,3,2,2,French,
Alike,5,2,3,2,Old English,
Hours,5,3,2,1,,
Telly,5,4,1,2,,
Stamp,5,4,1,1,Middle English,
Patio,5,2,3,3,Spanish,
Satan,5,3,2,2,Old English,
Amaze,5,2,3,2,Middle English,
Guava,5,2,3,2,Spanish,
Rouge,5,2,3,1,French,
Gemma,5,3,2,2,Latin,
Slack,5,4,1,1,,
Print,5,4,1,1,Old French,
Costa,5,3,2,2,Latin,
Aloha,5,2,3,3,Hawaiian,
Awake,5,2,3,2,Middle English,
Shake,5,3,2,1,Middle English,
Abies,5,2,3,2,Latin,
Alert,5,3,2,2,French,
Brace,5,3,2,1,Old French,
Saber,5,3,2,2,Vulgar Latin,
Vital,5,3,2,2,Middle English,
Toxic,5,3,2,2,French,
Amity,5,3,2,3,Old French,
Agile,5,2,3,2,French,
Monte,5,3,2,2,Latin,
Adieu,5,1,4,3,Middle English,
Shrew,5,4,1,1,Old English,
Shall,5,4,1,1,Middle English,
Ament,5,3,2,2,,
Thigh,5,4,1,1,Middle English,
Crust,5,4,1,1,Latin,
Abhor,5,3,2,2,Middle English,
Chili,5,3,2,2,Nahuatl,
Fraud,5,3,2,1,Old French,
Crook,5,3,2,1,Middle English,
Lunar,5,3,2,2,Latin,
Shang,5,4,1,1,,
Champ,5,4,1,1,French,
Draft,5,4,1,1,Middle English,
Birch,5,4,1,1,Middle English,
Abele,5,2,3,3,Dutch,
Jewel,5,3,2,2,Anglo Norman,
Thick,5,4,1,1,Middle English,
Snare,5,3,2,1,Old English,
Learn,5,3,2,1,Middle English,
Rebel,5,3,2,2,Old French,
Hotel,5,3,2,2,French,
Arius,5,2,3,3,Latin,
Mange,5,3,2,2,Middle English,
Balls,5,4,1,1,,
Crier,5,3,2,1,French,
Tatum,5,3,2,2,Old English,
Chard,5,4,1,1,French,
Curse,5,3,2,1,Middle English,
Brine,5,3,2,1,Old English,
Route,5,2,3,1,Old French,
Front,5,4,1,1,Old French,
Ester,5,3,2,2,German,
Grill,5,4,1,1,Middle English,
Awing,5,3,2,2,,
Arbor,5,3,2,2,Middle English,
Crave,5,3,2,1,Middle English,
Chord,5,4,1,1,Ancient Greek,
Crawl,5,4,1,1,Middle English,
Aught,5,3,2,1,Middle English,
Icing,5,3,2,2,German,
Aerie,5,1,4,2,,
Flour,5,3,2,1,Latin,
Pedal,5,3,2,2,French,
Pupil,5,3,2,2,Anglo Norman,
Fired,5,3,2,1,Arabic,
Thumb,5,4,1,1,Middle English,
Enjoy,5,3,2,2,Middle English,
Civic,5,3,2,2,Latin,
Aloof,5,2,3,2,,
Juicy,5,3,2,2,,
Crush,5,4,1,1,Middle English,
Piper,5,3,2,2,Latin,
Tummy,5,4,1,2,,
Sales,5,3,2,1,,
Missy,5,4,1,2,,
Chuck,5,4,1,1,Nootka,
Dolly,5,4,1,2,,
Opium,5,2,3,3,Latin,
Pichi,5,3,2,2,,
Choir,5,3,2,1,Middle English,
Build,5,3,2,1,Middle English,
Mafia,5,2,3,3,Arabic,
Moody,5,3,2,2,,
Hindi,5,3,2,2,Persian,
Knish,5,4,1,1,Yiddish,
Burst,5,4,1,1,Middle English,
Rugby,5,4,1,2,English,
Duvet,5,3,2,2,French,
Omega,5,2,3,3,Ancient Greek,
Libby,5,4,1,2,,
Speak,5,3,2,1,Middle English,
Trike,5,3,2,1,,
Urban,5,3,2,2,Latin,
Kyrie,5,3,2,2,Ancient Greek,
Trump,5,4,1,1,Middle English,
Grasp,5,4,1,1,Old English,
Ating,5,3,2,2,,
Frail,5,3,2,1,Old French,
Groan,5,3,2,1,,
Doris,5,3,2,2,,
Miser,5,3,2,2,Late Latin,
Tamil,5,3,2,2,,
Chimp,5,4,1,1,,
Heath,5,3,2,1,Middle English,
Dozer,5,3,2,2,,
Atone,5,2,3,2,Middle English,
Tally,5,4,1,2,Old English,
Chart,5,4,1,1,Middle French,
Elbow,5,3,2,2,Middle English,
Bless,5,4,1,1,Middle English,
Stool,5,3,2,1,Middle English,
Antic,5,3,2,2,Italian,
Kebab,5,3,2,2,Turkish,
Chino,5,3,2,2,Spanish,
Farce,5,3,2,1,Middle French,
Tibia,5,2,3,3,Latin,
Brake,5,3,2,1,Old Dutch,
Rover,5,3,2,2,Middle English,
Varus,5,3,2,2,Proto Indo European,
Blush,5,4,1,1,Old English,
Ovary,5,3,2,3,,
Leash,5,3,2,1,Middle English,
Hurry,5,4,1,2,Middle English,
Canal,5,3,2,2,French,
Ficus,5,3,2,2,Latin,
Prick,5,4,1,1,Middle English,
Ilium,5,2,3,3,Latin,
Xylem,5,4,1,2,German,
Metro,5,3,2,2,French,
Toast,5,3,2,1,Old French,
Glare,5,3,2,1,Old Irish,
Taint,5,3,2,1,Latin,
Blend,5,4,1,1,Middle English,
Tacky,5,4,1,2,,
Eaves,5,2,3,1,Middle English,
Fully,5,4,1,2,,
Meant,5,3,2,1,,
Rocks,5,4,1,1,,
Skirt,5,4,1,1,Old Norse,
Steel,5,3,2,1,Middle English,
Hover,5,3,2,2,Old English,
Bucks,5,4,1,1,,
Stiff,5,4,1,1,Old English,
Askew,5,3,2,2,Old Norse,
Dixie,5,2,3,2,Hindi,
Salem,5,3,2,2,Hebrew,
Write,5,3,2,1,Middle English,
Deity,5,3,2,2,Middle French,
Swish,5,4,1,1,,
Heist,5,3,2,1,,
Kayak,5,3,2,1,Inuktitut,
Slime,5,3,2,1,Old English,
Alarm,5,3,2,2,Middle English,
Cairo,5,2,3,2,,
Tunic,5,3,2,2,Middle French,
Rodeo,5,2,3,2,Spanish,
Aisle,5,2,3,2,Middle French,
Crepe,5,3,2,2,French,
Trace,5,3,2,1,Middle English,
Civil,5,3,2,2,Old French,
Annex,5,3,2,2,French,
Adler,5,3,2,2,,
Cheap,5,3,2,1,Middle English,
Onset,5,3,2,2,Old English,
Bingo,5,3,2,2,English,
Carte,5,3,2,2,French,
Owing,5,3,2,2,,
Dread,5,3,2,1,Middle English,
Added,5,3,2,2,,
Syrup,5,4,1,2,Middle English,
Lotto,5,3,2,2,Old French,
Flora,5,3,2,2,Latin,
Niger,5,3,2,2,Latin,
Preen,5,3,2,1,Middle English,
Harsh,5,4,1,1,Middle English,
Ender,5,3,2,2,,
Gross,5,4,1,1,Middle English,
Dwarf,5,4,1,1,Middle English,
Dally,5,4,1,2,Middle English,
Cloth,5,4,1,1,Middle English,
Radar,5,3,2,2,English,
Basil,5,3,2,2,Old French,
Crock,5,4,1,1,Middle English,
Entry,5,4,1,2,Old French,
Swift,5,4,1,1,Middle English,
Argos,5,3,2,2,Ancient Greek,
Jared,5,3,2,1,,
Trill,5,4,1,1,Middle English,
Condo,5,3,2,2,,
Ombre,5,3,2,2,French,
Aglow,5,3,2,2,,
Gravy,5,4,1,2,Middle English,
Ombre,5,3,2,2,French,
Anima,5,2,3,3,Latin,
Broth,5,4,1,1,Middle English,
Slain,5,3,2,1,,
Xhosa,5,3,2,2,,
Whole,5,3,2,1,Middle English,
Easel,5,2,3,2,Dutch,
Roast,5,3,2,1,Middle English,
Tampa,5,3,2,2,,
Nosey,5,3,2,2,,
Idaho,5,2,3,3,,
Lever,5,3,2,2,Old French,
Moore,5,2,3,1,,
Shave,5,3,2,1,Middle English,
Maven,5,3,2,2,Yiddish,
Bijou,5,2,3,2,French,
Ghoul,5,3,2,1,Persian,
Burqa,5,3,2,2,,
Mayor,5,3,2,1,Old French,
Stack,5,4,1,1,Old Norse,
Bunco,5,3,2,2,Spanish,
Chips,5,4,1,1,English,
Blink,5,4,1,1,Middle Dutch,
Array,5,3,2,2,Middle English,
Saint,5,3,2,1,Middle English,
Waist,5,3,2,1,Middle English,
Babar,5,3,2,2,,
Among,5,3,2,2,Old English,
Synge,5,4,1,2,,
Roach,5,3,2,1,,
Steps,5,4,1,1,,
Rogue,5,2,3,1,Celtic,
Devon,5,3,2,2,,
Brood,5,3,2,1,Middle English,
Freak,5,3,2,1,Middle English,
Simba,5,3,2,2,Proto Bantu,
Aalii,5,1,4,3,Hawaiian,
Coupe,5,2,3,1,French,
Manor,5,3,2,2,Old French,
Beaut,5,2,3,2,,
Lupus,5,3,2,2,Latin,
Minor,5,3,2,2,Latin,
Bland,5,4,1,1,Middle English,
Rapid,5,3,2,2,Latin,
Decay,5,3,2,2,Old French,
Avoid,5,2,3,2,Middle English,
Spade,5,3,2,1,Old English,
Xerox,5,3,2,2,,
Acute,5,2,3,2,Latin,
Cameo,5,2,3,2,Italian,
Theme,5,3,2,2,Old French,
Spire,5,3,2,1,Old English,
Mocha,5,3,2,2,Arabic,
Hathi,5,3,2,2,,
Sewer,5,3,2,2,Anglo Norman,
Biter,5,3,2,2,Proto Germanic,
Thank,5,4,1,1,Old English,
Forth,5,4,1,1,Middle English,
Prime,5,3,2,1,Old French,
Drops,5,4,1,1,,
Bleak,5,3,2,1,Middle English,
Chico,5,3,2,2,,
Weigh,5,3,2,1,Old English,
Syria,5,3,2,3,Latin,
Actin,5,3,2,2,Ancient Greek,
Detox,5,3,2,2,,
Crack,5,4,1,1,Middle English,
Perch,5,4,1,1,French,
Chafe,5,3,2,2,Middle English,
Chime,5,3,2,1,Latin,
Vowel,5,3,2,2,Old French,
Booth,5,3,2,1,Old Norse,
Fizzy,5,4,1,2,,
Haiku,5,2,3,2,Japanese,
Dizzy,5,4,1,2,Old English,
Salon,5,3,2,2,French,
Erase,5,2,3,2,Latin,
Tamer,5,3,2,2,Latin,
Camel,5,3,2,2,Middle English,
Lager,5,3,2,2,German,
Adios,5,2,3,3,Spanish,
Cutie,5,2,3,2,,
Alder,5,3,2,2,Middle English,
Morph,5,4,1,1,,
Basia,5,2,3,2,,
Choke,5,3,2,1,Middle English,
Plato,5,3,2,2,Latin,
Annoy,5,3,2,2,Middle English,
Burka,5,3,2,2,Persian,
Patty,5,4,1,2,,
Eland,5,3,2,2,Dutch,
Lands,5,4,1,1,,
Agape,5,2,3,2,Ancient Greek,
Gouda,5,2,3,2,,
Mucus,5,3,2,2,Latin,
Leigh,5,3,2,1,,
Trunk,5,4,1,1,Middle English,
Exile,5,2,3,2,Middle English,
Cisco,5,3,2,2,French,
Rumor,5,3,2,2,Middle English,
Rumor,5,3,2,2,Middle English,
Adana,5,2,3,3,,
Flick,5,4,1,1,,
Dover,5,3,2,2,Old English,
Conch,5,4,1,1,Latin,
Chang,5,4,1,1,,
Ganja,5,3,2,2,Bengali,
Bluff,5,4,1,1,Dutch,
Acres,5,3,2,1,,
Guild,5,3,2,1,Middle English,
Flies,5,3,2,1,,
Stuff,5,4,1,1,Middle English,
Taken,5,3,2,2,Middle Dutch,
Humor,5,3,2,2,Latin,
Shiva,5,3,2,2,Sanskrit,
Henna,5,3,2,2,Arabic,
Fatal,5,3,2,2,Middle French,
Hijab,5,3,2,2,Arabic,
Linen,5,3,2,2,Middle English,
Brink,5,4,1,1,Middle English,
Cigar,5,3,2,2,Spanish,
Hydra,5,4,1,2,,
Tipsy,5,4,1,2,,
Addle,5,3,2,2,Middle English,
Lough,5,3,2,1,Irish,
Fargo,5,3,2,2,,
Wayne,5,3,2,2,Old English,
Kaaba,5,2,3,2,Arabic,
Tutor,5,3,2,2,Middle English,
Kazoo,5,2,3,2,,
Genie,5,2,3,2,French,
Bossy,5,4,1,2,,
Paste,5,3,2,1,Middle French,
Lolly,5,4,1,2,,
Clout,5,3,2,1,Old English,
Pacha,5,3,2,2,,
Inuit,5,2,3,2,Inuktitut,
Ascus,5,3,2,2,Ancient Greek,
ANOVA,5,2,3,3,,
Ounce,5,2,3,1,Middle French,
Husky,5,4,1,2,Montagnais,
Rusty,5,4,1,2,,
Oxide,5,2,3,2,French,
Armor,5,3,2,2,Middle English,
Ionia,5,1,4,3,Ancient Greek,
Lodge,5,3,2,1,Middle English,
Sling,5,4,1,1,Old Norse,
Fetus,5,3,2,2,Latin,
Naomi,5,2,3,2,Hebrew,
Allis,5,3,2,2,,
Messy,5,4,1,2,,
Congo,5,3,2,2,,
Prone,5,3,2,1,Latin,
Bendy,5,4,1,2,,
Filth,5,4,1,1,Middle English,
Drove,5,3,2,1,Middle English,
Guilt,5,3,2,1,Middle English,
Deuce,5,2,3,1,French,
Tract,5,4,1,1,Latin,
Heave,5,2,3,1,Middle English,
Shoot,5,3,2,1,Middle English,
Taffy,5,4,1,2,,
Posse,5,3,2,1,Medieval Latin,
Adobe,5,2,3,2,Spanish,
Fluff,5,4,1,1,,
Couth,5,3,2,1,Middle English,
Rishi,5,3,2,2,Sanskrit,
Kabob,5,3,2,2,Turkish,
Purge,5,3,2,2,Middle English,
Tonga,5,3,2,2,Tongan,
Floss,5,4,1,1,French,
Paisa,5,2,3,2,Hindi,
Vapor,5,3,2,2,Latin,
Stare,5,3,2,1,Middle English,
Steep,5,3,2,1,Old English,
Plank,5,4,1,1,Anglo Norman,
Sissy,5,4,1,2,French,
Penne,5,3,2,2,Latin,
Bonds,5,4,1,1,,
Alibi,5,2,3,3,Latin,
Molar,5,3,2,2,Latin,
Canna,5,3,2,2,Latin,
Cloak,5,3,2,1,Old Northern French,
Inner,5,3,2,2,Middle English,
Baggy,5,4,1,2,,
Cruel,5,3,2,1,Middle English,
Knack,5,4,1,1,Middle English,
Geode,5,2,3,1,French,
Pagan,5,3,2,2,Latin,
Tress,5,4,1,1,Old French,
Sutra,5,3,2,2,Sanskrit,
Whack,5,4,1,1,,
Futon,5,3,2,2,Japanese,
Libra,5,3,2,2,Latin,
Chalk,5,4,1,1,Old English,
Recon,5,3,2,2,,
Cuban,5,3,2,2,,
Prowl,5,4,1,1,Middle English,
Boxer,5,3,2,2,English,
Snort,5,4,1,1,Middle English,
Boxer,5,3,2,2,English,
Dandy,5,4,1,2,,
Josue,5,2,3,2,,
Drunk,5,4,1,1,,
Amuse,5,2,3,2,Middle English,
Anole,5,2,3,2,Cariban,
Aleve,5,2,3,3,,
Taunt,5,3,2,1,Old French,
Stomp,5,4,1,1,German,
Shirt,5,4,1,1,Old English,
Ferry,5,4,1,2,Middle English,
Gloom,5,3,2,1,Middle English,
Towel,5,3,2,2,Middle English,
Major,5,3,2,2,French,
Fussy,5,4,1,2,,
Spore,5,3,2,1,Ancient Greek,
Cramp,5,4,1,1,Middle English,
Charm,5,4,1,1,Old French,
Girth,5,4,1,1,Old Norse,
Sheet,5,3,2,1,Middle English,
Halve,5,3,2,2,,
Excel,5,3,2,2,Latin,
Swarm,5,4,1,1,Middle English,
Thane,5,3,2,1,Old English,
Schwa,5,4,1,1,German,
Perth,5,4,1,1,,
Wince,5,3,2,1,,
Hitch,5,4,1,1,,
Beano,5,2,3,2,,
Burgh,5,4,1,1,Proto Germanic,
Swamp,5,4,1,1,Middle English,
Raise,5,2,3,1,Middle English,
Dairy,5,3,2,2,Middle English,
Pinch,5,4,1,1,Middle English,
Parts,5,4,1,1,,
Pecan,5,3,2,2,French,
Clash,5,4,1,1,,
Dingo,5,3,2,2,Dharug,
Bathe,5,3,2,1,Middle English,
Creed,5,3,2,1,Old English,
Yodel,5,3,2,2,German,
Split,5,4,1,1,Middle Dutch,
Reuse,5,2,3,1,,
Adorn,5,3,2,2,Middle English,
Cater,5,3,2,2,Middle English,
Weber,5,3,2,2,German,
Stall,5,4,1,1,Middle English,
Finch,5,4,1,1,Old English,
Boise,5,2,3,1,,
Dweeb,5,3,2,1,,
Dweeb,5,3,2,1,,
Scorn,5,4,1,1,Old French,
Diner,5,3,2,2,Latin,
Remus,5,3,2,2,Latin,
Avail,5,2,3,2,Middle English,
Filly,5,4,1,2,Old Norse,
Beret,5,3,2,2,French,
Click,5,4,1,1,Old French,
Terms,5,4,1,1,,
Aired,5,2,3,1,,
Aorta,5,2,3,2,Ancient Greek,
Chirp,5,4,1,1,,
Amine,5,2,3,2,,
Steal,5,3,2,1,Middle English,
Appal,5,3,2,2,,
Itchy,5,4,1,2,,
Scrum,5,4,1,1,,
Scold,5,4,1,1,Old Norse,
Aruba,5,2,3,3,,
Smear,5,3,2,1,Old English,
Folly,5,4,1,2,Old French,
Bulge,5,3,2,2,Old Northern French,
Spook,5,3,2,1,Dutch,
Barge,5,3,2,2,Old French,
Wyatt,5,4,1,1,Old English,
Elate,5,2,3,2,Latin,
Vault,5,3,2,1,Old French,
Posey,5,3,2,2,,
Aditi,5,2,3,3,Sanskrit,
Built,5,3,2,1,,
Mates,5,3,2,1,,
Anaya,5,2,3,2,,
Advil,5,3,2,2,,
Aunty,5,3,2,2,,
Fille,5,3,2,2,Old French,
Intro,5,3,2,2,Latin,
Heron,5,3,2,2,Middle English,
Chute,5,3,2,1,French,
Birdy,5,4,1,2,,
Nappy,5,4,1,2,French,
Cedar,5,3,2,2,Old French,
Whirl,5,4,1,1,Old Norse,
Havoc,5,3,2,2,Anglo Norman,
Clive,5,3,2,1,Old English,
Benny,5,4,1,2,,
Digit,5,3,2,2,Latin,
Samoa,5,2,3,2,Samoan,
Drift,5,4,1,1,Middle English,
Moral,5,3,2,2,French,
Scalp,5,4,1,1,,
Talon,5,3,2,2,Old French,
Saree,5,2,3,2,,
Mince,5,3,2,1,Middle English,
Steam,5,3,2,1,Middle English,
Scuba,5,3,2,2,,
Prose,5,3,2,1,Old French,
Nixon,5,3,2,2,,
Micah,5,3,2,2,,
Alias,5,2,3,3,Latin,
Stole,5,3,2,1,Old English,
Torah,5,3,2,2,Hebrew,
Freya,5,3,2,1,Old Norse,
Virgo,5,3,2,2,Latin,
Relay,5,3,2,2,Middle French,
Croft,5,4,1,1,Old English,
Blond,5,4,1,1,Middle French,
Udder,5,3,2,2,Old English,
Clerk,5,4,1,1,Middle English,
Viper,5,3,2,2,Latin,
Hooch,5,3,2,1,Tlingit,
Locks,5,4,1,1,,
Erect,5,3,2,2,Latin,
Nylon,5,4,1,2,,
Bongo,5,3,2,2,Spanish,
Cuppa,5,3,2,2,,
Shard,5,4,1,1,Middle English,
Swirl,5,4,1,1,,
Cease,5,2,3,1,,
Tardy,5,4,1,2,Old French,
Gloss,5,4,1,1,Middle High German,
Lysis,5,4,1,2,Latin,
Sioux,5,2,3,2,French,
Welsh,5,4,1,1,Old English,
Brute,5,3,2,1,Middle French,
Baste,5,3,2,1,Old French,
Scoff,5,4,1,1,Middle English,
Vroom,5,3,2,1,,
Abeam,5,2,3,2,,
Homes,5,3,2,1,,
Friar,5,3,2,2,Middle English,
Hubby,5,4,1,2,,
Jonas,5,3,2,2,,
Czech,5,4,1,1,Polish,
Reyes,5,3,2,1,,
Venue,5,2,3,2,Old French,
Orang,5,3,2,2,,
Damon,5,3,2,2,Ancient Greek,
Armed,5,3,2,1,Latin,
Affix,5,3,2,2,Old French,
Hogan,5,3,2,2,Navajo,
Fjord,5,4,1,1,Norwegian,
Tempo,5,3,2,2,Italian,
Irony,5,3,2,3,Middle French,
Mimic,5,3,2,2,Latin,
Comfy,5,4,1,2,,
Glute,5,3,2,1,,
Guile,5,2,3,1,Middle English,
Beige,5,2,3,2,French,
Polly,5,4,1,2,,
Wacky,5,4,1,2,,
Sofia,5,2,3,3,Bulgarian,
Flirt,5,4,1,1,Germanic,
Chyme,5,4,1,2,Late Latin,
Stein,5,3,2,1,German,
Bacca,5,3,2,2,Latin,
Canon,5,3,2,2,Old French,
Nance,5,3,2,1,,
Vespa,5,3,2,2,Latin,
Slang,5,4,1,1,Dutch,
Gaily,5,3,2,2,,
Delay,5,3,2,2,Middle English,
Basin,5,3,2,2,Middle English,
Bangs,5,4,1,1,,
Ended,5,3,2,2,,
Jokes,5,3,2,1,,
Geoid,5,2,3,2,,
Badly,5,4,1,2,,
Upper,5,3,2,2,,
Woven,5,3,2,2,,
Jiffy,5,4,1,2,,
Clues,5,3,2,1,,
Sinus,5,3,2,2,Latin,
Pious,5,2,3,2,Latin,
Flake,5,3,2,1,Middle English,
Caper,5,3,2,2,Dutch,
Dwell,5,4,1,1,Old English,
Faced,5,3,2,1,,
Glitz,5,4,1,1,German,
Sudan,5,3,2,2,Arabic,
Lunge,5,3,2,2,French,
Girls,5,4,1,1,,
Stunt,5,4,1,1,Middle English,
Gloat,5,3,2,1,Old Norse,
Tools,5,3,2,1,,
Adage,5,2,3,2,French,
Prune,5,3,2,1,Old French,
Morse,5,3,2,1,,
Neigh,5,3,2,1,,
Samba,5,3,2,2,Portuguese,
Moira,5,2,3,2,,
Decal,5,3,2,2,,
Delhi,5,3,2,2,,
Guess,5,3,2,1,Middle English,
Shari,5,3,2,2,,
Zaman,5,3,2,2,Cariban,
Tenth,5,4,1,1,Middle English,
Brawl,5,4,1,1,Middle English,
Gecko,5,3,2,2,Malay,
Bocce,5,3,2,2,Italian,
Flask,5,4,1,1,Middle English,
Derby,5,4,1,2,English,
Tokyo,5,3,2,2,Middle Chinese,
Broil,5,3,2,1,Middle English,
Limbo,5,3,2,2,Latin,
Clang,5,4,1,1,Latin,
Timer,5,3,2,2,English,
Scram,5,4,1,1,German,
Pappy,5,4,1,2,,
Using,5,3,2,2,,
Slimy,5,4,1,2,Middle English,
