Word,Length,Consonants,Vowels,Syllables,Origin,Favourite
Think,5,4,1,1,Middle English,
Image,5,2,3,2,Middle English,
Album,5,3,2,2,Latin,
Socks,5,4,1,1,,
Catch,5,4,1,1,Middle English,
Sleep,5,3,2,1,Middle English,
Below,5,3,2,2,Middle English,
Quran,5,3,2,2,Arabic,
Organ,5,3,2,2,Latin,
Peter,5,3,2,2,,
Cupid,5,3,2,2,Latin,
Storm,5,4,1,1,Middle English,
Silly,5,4,1,2,Old English,
Berry,5,4,1,2,Middle English,
Rhyme,5,4,1,2,Middle English,
Carol,5,3,2,2,Old French,
Olive,5,2,3,2,Old French,
Leave,5,2,3,1,Middle English,
Whale,5,3,2,1,Middle English,
James,5,3,2,1,Old French,
Sally,5,4,1,2,Middle English,
Ology,5,3,2,3,,
Brave,5,3,2,1,French,
Asian,5,2,3,3,,
Every,5,3,2,2,Middle English,
Aaron,5,2,3,2,Hebrew,
Holly,5,4,1,2,,
Arrow,5,3,2,2,Old English,
There,5,3,2,1,Middle English,
Ebola,5,2,3,3,,
Later,5,3,2,2,,
Bacon,5,3,2,2,Middle English,
Local,5,3,2,2,Old French,
Graph,5,4,1,1,,
Super,5,3,2,2,Latin,
Brown,5,4,1,1,,
Obama,5,2,3,3,,
Onion,5,2,3,2,Middle English,
Simon,5,3,2,2,Classical Hebrew,
Globe,5,3,2,1,Old French,
Alley,5,3,2,2,Anglo Norman,
Stick,5,4,1,1,Middle English,
Spain,5,3,2,1,Anglo Norman,
Daddy,5,4,1,2,,
Scare,5,3,2,1,Latin,
Kylie,5,3,2,2,,
Quiet,5,2,3,2,Middle English,
Touch,5,3,2,1,Middle English,
Clean,5,3,2,1,Middle English,
Liver,5,3,2,2,Old English,
Haley,5,3,2,2,,
Lucky,5,4,1,2,Middle English,
Given,5,3,2,2,,
Lunch,5,4,1,1,Latin,
Child,5,4,1,1,Middle English,
Clone,5,3,2,1,Ancient Greek,
Chloe,5,3,2,1,,
Glove,5,3,2,1,Middle English,
Meter,5,3,2,2,French,
Nancy,5,4,1,2,English,
Plain,5,3,2,1,Anglo Norman,
Solid,5,3,2,2,Old French,
Uncle,5,3,2,2,Middle English,
Shout,5,3,2,1,Middle English,
Bored,5,3,2,1,,
Early,5,3,2,2,Middle English,
Brian,5,3,2,2,Middle English,
Video,5,2,3,2,Latin,
Cheer,5,3,2,1,Anglo Norman,
Texas,5,3,2,2,Spanish,
Aries,5,2,3,2,Latin,
Often,5,3,2,2,Old English,
Sushi,5,3,2,2,Japanese,
Chaos,5,3,2,1,Ancient Greek,
Tulip,5,3,2,2,German,
Alien,5,2,3,4,Old French,
Apart,5,3,2,2,French,
Fight,5,4,1,1,Middle English,
Coach,5,3,2,1,Middle French,
Force,5,3,2,1,Middle English,
Trust,5,4,1,1,Middle English,
Angle,5,3,2,2,Middle English,
Beast,5,3,2,1,Old French,
Craft,5,4,1,1,Middle English,
Chess,5,4,1,1,Old French,
Skull,5,4,1,1,Middle English,
Order,5,3,2,2,Middle English,
Judge,5,3,2,1,Old French,
Swing,5,4,1,1,Middle English,
Drive,5,3,2,1,Middle English,
Shine,5,3,2,1,Middle English,
Stand,5,4,1,1,Middle English,
Stage,5,3,2,1,Middle English,
Oscar,5,3,2,2,Irish,
Ember,5,3,2,2,Old English,
Worry,5,4,1,2,Middle English,
Drama,5,3,2,2,Ancient Greek,
Raven,5,3,2,2,Old English,
Sight,5,4,1,1,Old English,
Short,5,4,1,1,Middle English,
Botox,5,3,2,2,,
Unity,5,3,2,3,Anglo Norman,
Horse,5,3,2,1,Middle English,
Trout,5,3,2,1,Old English,
Devil,5,3,2,2,Old English,
Spoon,5,3,2,1,Middle English,
Clown,5,4,1,1,North Germanic,
Grand,5,4,1,1,Middle English,
Gnome,5,3,2,1,Ancient Greek,
